pid,pid_name
03F09702,PhotoSmart R740 series
03F09802,PhotoSmart Mz60 series
03F09902,PhotoSmart M630 series
03F09A02,PhotoSmart E330 series
03F09B02,PhotoSmart M540 series
03F09B07,Portable Drive
03F09C02,PhotoSmart M440 series
03F0A004,DeskJet 5850c
03F0A011,Deskjet 3050A
03F0B002,PhotoSmart 7200 series
03F0B102,PhotoSmart 7200 series
03F0B107,v255w/c310w Flash Drive
03F0B116,Webcam
03F0B202,PhotoSmart 7600 series
03F0B302,PhotoSmart 7600 series
03F0B402,PhotoSmart 7700 series
03F0B502,PhotoSmart 7700 series
03F0B602,PhotoSmart 7900 series
03F0B702,PhotoSmart 7900 series
03F0B802,PhotoSmart 7400 series
03F0B902,PhotoSmart 7800 series
03F0BA02,PhotoSmart 8100 series
03F0BB02,PhotoSmart 8400 series
03F0BC02,PhotoSmart 8700 series
03F0BD02,PhotoSmart Pro B9100 series
03F0BEF4,NEC Picty760
03F0C002,PhotoSmart 7800 series
03F0C102,PhotoSmart 8000 series
03F0C202,PhotoSmart 8200 series
03F0C302,DeskJet D2300
03F0C402,PhotoSmart D5100 series
03F0C502,PhotoSmart D6100 series
03F0C602,PhotoSmart D7100 series
03F0C702,PhotoSmart D7300 series
03F0C802,PhotoSmart D5060 Printer
03F0D104,Bluetooth Dongle
03F0EFBE,NEC Picty900
03F0F0BE,NEC Picty920
03F0F1BE,NEC Picty800
03F30020,AWN-8020 WLAN [Intersil PRISM 2.5]
03F30080,AVC-1100 Audio Capture
03F30083,AVC-2200 Device
03F30087,AVC-2210 Loader
03F30088,AVC-2210 Device
03F3008B,AVC-2310 Loader
03F3008C,AVC-2310 Device
03F30094,eHome Infrared Receiver
03F3009B,AVC-1410 GameBridge TV NTSC
03F32000,USBXchange
03F32001,USBXchange Adapter
03F32002,USB2-Xchange
03F32003,USB2-Xchange Adapter
03F34000,4-port hub
03F3ADCC,Composite Device Support
03F90100,KT-2001 Keyboard
03F90101,Keyboard
03F90102,Keyboard Mouse
040005DC,Rigol Technologies DS1000USB Oscilloscope
04000807,Bluetooth Dongle
0400080A,Bluetooth Device
040009C4,Rigol Technologies DG1022 Arbitrary Waveform Generator
04001000,Mustek BearPaw 1200 Scanner
04001001,Mustek BearPaw 2400 Scanner
04001237,Hub
0400A000,Smart Display Reference Device
0400C359,Logitech Harmony
0400C35B,Printing Support
0400C55D,Rigol Technologies DS5000USB Oscilloscope
04025462,M5462 IDE Controller
04025602,M5602 Video Camera Controller
04025603,M5603 Video Camera Controller
04025606,M5606 Video Camera Controller [UVC]
04025621,M5621 High-Speed IDE Controller
04025623,M5623 Scanner Controller
04025627,Welland ME-740PS USB2 3.5 Power Saving Enclosure
04025632,M5632 Host-to-Host Link
04025635,M5635 Flash Card Reader
04025636,USB 2.0 Storage Device
04025637,M5637 IDE Controller
04025661,M5661 MP3 player
04025667,M5667 MP3 player
04029665,Gateway Webcam
04030000,H4SMK 7 Port Hub
04030232,Serial Converter
04031060,JTAG adapter
04036001,FT232 USB-Serial (UART) IC
04036002,Lumel PD12
04036007,Serial Converter
04036008,Serial Converter
04036009,Serial Converter
04036010,FT2232C Dual USB-UART/FIFO IC
04036011,FT4232H Quad HS USB-UART/FIFO IC
04036014,FT232H Single HS USB-UART/FIFO IC
04036015,Bridge(I2C/SPI/UART/FIFO)
04038028,Dev board JTAG (FT232H based)
04038040,4 Port Hub
04038070,7 Port Hub
04038370,7 Port Hub
04038371,PS/2 Keyboard And Mouse
04038372,FT8U100AX Serial Port
04038A28,Rainforest Automation ZigBee Controller
04038A98,TIAO Multi-Protocol Adapter
04039E90,Marvell OpenRD Base/Client
04039F80,Ewert Energy Systems CANdapter
0403A6D0,Texas Instruments XDS100v2 JTAG / BeagleBone A3
0403A951,HCP HIT GSM/GPRS modem [Cinterion MC55i]
0403ABB8,Lego Mindstorms NXTCam
0403B810,US Interface Navigator (CAT and 2nd PTT lines)
0403B811,US Interface Navigator (WKEY and FSK lines)
0403B812,US Interface Navigator (RS232 and CONFIG lines)
0403B9B0,Fujitsu SK-16FX-100PMC V1.1
0403BAF8,Amontec JTAGkey
0403BCD8,Stellaris Development Board
0403BCD9,Stellaris Evaluation Board
0403BCDA,Stellaris ICDI Board
0403BDC8,Egnite GmbH - JTAG/RS-232 adapter
0403BFD8,OpenDCC
0403BFD9,OpenDCC (Sniffer)
0403BFDA,OpenDCC (Throttle)
0403BFDB,OpenDCC (Gateway)
0403BFDC,OpenDCC (GBM)
0403C630,lcd2usb interface
0403C631,i2c-tiny-usb interface
0403C632,xu1541 c64 floppy drive interface
0403C633,TinyCrypt dongle
0403C634,glcd2usb interface
0403C7D0,RR-CirKits LocoBuffer-USB
0403C8B8,Alpermann+Velte MTD TCU
0403C8B9,Alpermann+Velte MTD TCU 1HE
0403C8BA,Alpermann+Velte Rubidium H1
0403C8BB,Alpermann+Velte Rubidium H3
0403C8BC,Alpermann+Velte Rubidium S1
0403C8BD,Alpermann+Velte Rubidium T1
0403C8BE,Alpermann+Velte Rubidium D1
0403CC48,Tactrix OpenPort 1.3 Mitsubishi
0403CC49,Tactrix OpenPort 1.3 Subaru
0403CC4A,Tactrix OpenPort 1.3 Universal
0403CFF8,Amontec JTAGkey
0403D010,SCS PTC-IIusb
0403D011,SCS Position-Tracker/TNC
0403D012,SCS DRAGON 1
0403D013,SCS DRAGON 1
0403D491,Zolix Omni 1509 monochromator
0403D578,Accesio USB-COM-4SM
0403D6F8,UNI Black BOX
0403D738,Propox JTAGcable II
0403D739,Propox ISPcable III
0403D9A9,Actisense USG-1 NMEA Serial Gateway
0403D9AA,Actisense NGT-1 NMEA2000 PC Interface
0403E0D0,Total Phase Aardvark I2C/SPI Host Adapter
0403E521,EVER Sinline XL Series UPS
0403E6C8,PYRAMID Computer GmbH LCD
0403E700,Elster Unicom III Optical Probe
0403E729,Segway Robotic Mobility Platforms 200
0403E888,Expert ISDN Control USB
0403E889,USB-RS232 OptoBridge
0403E88A,Expert mouseCLOCK USB II
0403E88B,Precision Clock MSF USB
0403E88C,Expert mouseCLOCK USB II HBG
0403E8D8,Aaronia AG Spectran Spectrum Analyzer
0403E8DC,Aaronia AG UBBV Preamplifier
0403EA90,Eclo 1-Wire Adapter
0403ED71,HAMEG HO870 Serial Port
0403ED72,HAMEG HO720 Serial Port
0403ED73,HAMEG HO730 Serial Port
0403ED74,HAMEG HO820 Serial Port
0403EF10,FT1245BL
0403F070,Serial Converter 422/485 [Vardaan VEUSB422R3]
0403F1A0,Asix PRESTO Programmer
0403F208,Papenmeier Braille-Display
0403F3C0,4N-GALAXY Serial Converter
0403F608,CTI USB-485-Mini
0403F60B,CTI USB-Nano-485
0403F680,Suunto Sports Instrument
0403F758,GW Instek GDS-8x0 Oscilloscope
0403F7C0,ZeitControl Cardsystems TagTracer MIFARE
0403F850,USB-UIRT (Universal Infrared Receiver+Transmitter)
0403F918,Ant8 Logic Probe
0403FA00,Matrix Orbital USB Serial
0403FA01,Matrix Orbital MX2 or MX3
0403FA02,Matrix Orbital MX4 or MX5
0403FA03,Matrix Orbital VK/LK202 Family
0403FA04,Matrix Orbital VK/LK204 Family
0403FA20,Ross-Tech HEX-USB
0403FC08,Crystalfontz CFA-632 USB LCD
0403FC09,Crystalfontz CFA-634 USB LCD
0403FC0B,Crystalfontz CFA-633 USB LCD
0403FC0C,Crystalfontz CFA-631 USB LCD
0403FC0D,Crystalfontz CFA-635 USB LCD
0403FC82,SEMC DSS-20/DSS-25 SyncStation
0403FD48,ShipModul MiniPlex-4xUSB NMEA Multiplexer
0403FD49,ShipModul MiniPlex-4xUSB-AIS NMEA Multiplexer
0403FF08,ToolHouse LoopBack Adapter
0403FF18,ScienceScope Logbook ML
0403FF19,Logbook Bus
0403FF1A,Logbook Bus
0403FF1B,Logbook Bus
0403FF1C,ScienceScope Logbook LS
0403FF1D,ScienceScope Logbook HS
0403FF1E,Logbook Bus
0403FF1F,Logbook Bus
04040202,78XX Scanner
04040203,78XX Scanner - Embedded System
04040310,K590 Printer, Self-Service
04040311,7167 Printer, Receipt/Slip
04040312,7197 Printer Receipt
04040320,5932-USB Keyboard
04040321,5953-USB Dynakey
04040322,5932-USB Enhanced Keyboard
04040323,5932-USB Enhanced Keyboard, Flash-Recovery/Download
04040324,5953-USB Enhanced Dynakey
04040325,5953-USB Enhanced Dynakey Flash-Recovery/Download
04040328,K016: USB-MSR ISO 3-track MSR: POS Standard (See HID pages)
04040329,K018: USB-MSR JIS 2-Track MSR: POS Standard
0404032A,K016: USB-MSR ISO 3-Track MSR: HID Keyboard Mode
0404032B,K016/K018: USB-MSR Flash-Recovery/Download
04080103,FV TouchCam N1 (Audio)
0408030C,HP Webcam
040803B2,HP Webcam
04081030,FV TouchCam N1 (Video)
